Quarter,Avg. M-Score,Weighted_M,Count,average M trend,average WM trend,average M velocity,average M acceleration,average WM velocity,average WM acceleration,sp500 return,sp500 return trend,sp500 velocity,sp500 acceleration,indu return,indu return trend,indu velocity,indu acceleration,GDPC1,WPSID62,WPSID62 trend,WPSID62 velocity,WPSID62 acceleration,T10Y2Y,T10Y2Y trend,T10Y2Y velocity,T10Y2Y acceleration,average beta,average MCAP,WAB,average beta trend,average MCAP trend,WAB trend,average beta velocity,average beta acceleration,average MCAP velocity,average MCAP acceleration,WAB velocity,WAB acceleration
1980Q4,-2.374428503,-2.958781787,66,-2.362592322,-2.362592322,-0.061148651,-0.03451016,-0.061148651,-0.03451016,0.003177418,6.833125555555532e-05,8.274918055555555e-05,2.754082222222228e-05,0.017006,0.0004873388888888,7.060555555555542e-05,2.958055555555551e-05,6951.495,102.7,103.2,-0.0499999999999971,0.25,-0.63,-0.7165833333333333,0.0008958333333334,0.0005104166666666,0.6783514931396287,236102.91415170504,0.0001899270462806,0.6802880324053517,233478.35236549095,0.0001894990559004,0.01012488907382,0.002258238143858,-1919.2295956638843,-1402.2212240537629,-1.8991696170591845e-06,-5.955901169654693e-07
1981Q1,-2.516872519,-3.007695402,69,-2.4410958,-2.4410958,-0.065591796,0.008598492,-0.065591796,0.008598492,0.012809056,0.0001001045455555,2.9158244444444484e-05,1.2405519444444442e-05,0.025772,0.0007518111111111,-1.3552777777777738e-05,2.87499999999946e-07,6899.98,103.8,104.06666666666666,0.0,-0.0999999999999978,-0.04,-0.7837916666666667,-0.0036041666666666,-0.0007708333333333,0.6671625124626122,238508.3948808016,0.0001826618856583,0.675916564645763,233826.3933820293,0.0001819295283555,-0.0109289335396927,0.0009054207509794,3448.112138027587,-626.3709274707799,-2.5629632820876885e-06,-1.3359183585750313e-07
1981Q2,-2.431986379,-3.00987299,111,-2.493775913,-2.493775913,-0.043951667,0.016559115,-0.043951667,0.016559115,-0.005155812,-0.00100818433,-3.946850833333335e-05,4.851033333333379e-06,0.006581,-0.0014321666666666,-6.916944444444446e-05,1.892499999999993e-05,6982.609,104.9,104.56666666666666,0.6000000000000014,-0.4000000000000021,-0.8,-1.094625,-0.0053541666666665,0.00090625,0.6603037337976398,232301.88924471464,0.0001738650279063,0.665750837024016,232671.04857146883,0.0001751437358852,0.0044452158124866,0.0066077118845424,-5632.575141630092,-3820.4560875311,-1.4472343946183132e-06,6.565854936096786e-07
1981Q3,-2.532468839,-3.056841355,122,-2.528999134,-2.528999134,-0.032473566,0.018957133,-0.032473566,0.018957133,0.002070036,-0.0003555114222222,1.4342991666666622e-05,8.047044305555559e-05,0.0186579999999999,-0.0005038055555555,2.8683333333333344e-05,7.452222222222218e-05,6906.529,102.7,102.63333333333334,-1.3999999999999986,-0.1750000000000007,-0.85,-0.5217916666666667,0.0095208333333332,0.00096875,0.7178281487101669,197742.09575314683,0.0001739587477206,0.7028679193028389,205454.3468624844,0.0001741064204061,0.0051686489808788,-0.010552458403217,-3501.969556293174,5474.915222155396,6.531605355315594e-07,-7.870566623792202e-08
1981Q4,-2.622542183,-2.997012926,131,-2.558723044,-2.558723044,-0.006037401,0.024333533,-0.006037401,0.024333533,0.002044154,-0.0009711124333333,-0.0001232621972222,5.106455138888892e-05,0.018715,-0.0002290444444444,-7.699444444444437e-05,1.4802777777777742e-05,6799.233,98.8,99.4,0.0,0.9000000000000021,0.35,-0.0239166666666666,0.0038125,9.375000000000008e-05,0.6837841888347695,207000.11503910457,0.0001724726618342,0.6766373357454436,206483.51815918557,0.0001732250008875,-0.0131808642731786,0.0006977970371284,-4809.371422846074,-3851.638482039576,-1.3534738520819609e-06,-1.4424999861613233e-07
1982Q1,-2.521158108,-3.031524816,139,-2.541073935,-2.541073935,0.016193501,-0.002024134,0.016193501,-0.002024134,-0.002761201,-0.0003852599433333,-8.05394944444444e-05,-5.354588055555556e-05,0.014797,-0.0002026888888888,-7.108333333333334e-05,-6.053333333333329e-05,6830.251,99.7,99.96666666666668,0.1000000000000014,0.5500000000000007,-0.34,-0.22825,-0.0046249999999999,-4.166666666666902e-05,0.651952629615815,185684.33773537487,0.0001705057728192,0.6468991441027006,190152.5657589593,0.0001705908634705,-0.0047663219144442,0.0023140847562267,-1620.7049358627264,1811.39462004487,8.078378615589089e-08,5.168617984480472e-07
1982Q2,-2.479521513,-2.987054893,143,-2.526336041,-2.526336041,-0.010085669,-0.01617789,-0.010085669,-0.01617789,-0.005444152,0.0001151603088888,0.0001831111833333,0.0001105492513888,0.016584,0.0007549333333333,0.0001744138888888,9.261944444444448e-05,6804.139,101.8,101.46666666666668,-0.6000000000000014,-0.8999999999999986,-0.22,0.1342083333333333,0.0054583333333333,-0.0004583333333333,0.6346460093896713,184977.45942532583,0.0001717565161637,0.6349595384166935,184263.18328901264,0.0001715696873212,-0.012608969782364,-0.0084744139996218,217.03617421233503,3758.802497234756,8.728224957526458e-07,7.205374251463299e-07
1982Q3,-2.578328503,-3.052200698,145,-2.561245272,-2.561245272,-0.016162279,0.013898977,-0.016162279,0.013898977,-0.009948204,0.0028384396533333,0.0001684600880555,4.204118944444444e-05,0.003774,0.0028811944444444,0.0001430083333333,5.99291666666667e-05,6806.857,99.2,99.23333333333332,-0.5499999999999972,0.375,0.5,0.6527083333333334,0.0090416666666666,-0.0005416666666667,0.5696296996032496,202747.8490055564,0.0001763188181121,0.5692879490573509,208777.9329436182,0.0001769882238406,-0.013271376900889,0.0096407801498131,12015.183167038267,-350.4645458991363,2.835649461672778e-07,-1.6663401434598602e-06
1982Q4,-2.625885801,-3.042827641,148,-2.558660599,-2.558660599,0.017712285,0.033910237,0.017712285,0.033910237,0.002209079,0.0015257873644444,-6.264153611111123e-05,-4.048040416666657e-05,0.011648,0.0016296111111111,-3.223611111111146e-05,-2.523333333333321e-05,6896.561,98.8,98.93333333333334,-0.2000000000000028,0.2750000000000021,0.88,0.9104166666666668,0.0030416666666666,0.0006875,0.5655711935660758,227838.7046781283,0.0001719984384091,0.5764690368641753,231853.45036473995,0.0001723550825441,0.0124665822875046,0.0024859126553696,4195.644941627688,-441.4705874759602,-7.953681578383708e-07,5.945997527735216e-07
1983Q1,-2.471767494,-2.841273051,149,-2.525820702,-2.525820702,0.051658196,-0.000673123,0.051658196,-0.000673123,-0.002803312,0.0017064229477777,-9.408090555555564e-05,-0.0001244437722222,0.000542,0.0018922333333333,-0.0001141666666666,-0.0001377013888888,7053.5,100.5,100.56666666666666,0.6000000000000014,-0.3249999999999993,0.75,0.9087916666666668,-0.0025833333333332,0.0001666666666666,0.5926443879404286,250164.3784737105,0.0001698393867064,0.5951654290198111,251364.29752721207,0.0001699026754308,-0.0001090651525855,0.0021931992912867,8309.752730153865,437.2833956841787,-1.8473412413656335e-06,-1.9795317154977786e-07
